date,tmax,tmin,rain,srad,rhum
1980-01-01,32,20.8,1,16.837089132746033,75
1980-01-02,31.6,22,0,17.38411461457612,82
1980-01-03,33.4,22.6,2,21.843735076129498,77
1980-01-04,33.4,20.4,0,15.804377251368006,74
1980-01-05,34,22.2,0,18.843940950843912,68
1980-01-06,34,22.4,0,20.240862867345957,72
1980-01-07,34.2,22.8,0,20.128745502378507,64
1980-01-08,35.8,21.8,0,22.494921548565603,72
1980-01-09,35.2,22.2,0,15.52988915869393,65
1980-01-10,35,23,0,21.161619797634295,65
1980-01-11,35,23,0,16.04275772964943,65
1980-01-12,35.2,22.78984375,0,18.099721705632863,66
1980-01-13,34.6,22.01057268722467,0,21.161619797634295,63
1980-01-14,34.4,22.01057268722467,0,17.933460699247032,70
1980-01-15,31.8,22.6,2,18.38420791182883,75
1980-01-16,33,21.2,0,14.610016233503332,76
1980-01-17,33.6,21.2,0,15.52988915869393,70
1980-01-18,33.4,23,4,11.254678249883414,80
1980-01-19,30.4,21,0,18.843940950843912,81
1980-01-20,32.2,22.6,0,19.651071535714493,77
1980-01-21,32.4,22.2,0,21.45918830343998,85
1980-01-22,35.8,22.4,18.3,20.240862867345957,64
1980-01-23,33.6,21,0,20.783604189206393,70
1980-01-24,32.2,24,0,20.378885861476924,71
1980-01-25,36.4,21.689340101522845,0,20.783604189206393,63
1980-01-26,36.6,21.6,0,18.56204813848631,56
1980-01-27,35.03291139240506,22.6,0,22.1225395064411,57
1980-01-28,34.4,22,0,21.242820934933413,66
1980-01-29,35.4,22.8,0,21.759593783073914,64
1980-01-30,28.4,22.4,0,12.648942148527684,84
1980-01-31,33.2,22.2,0,18.980016358206093,69
1980-02-01,31.2,23.447777777777777,0,10.958502547680164,83
1980-02-02,31.8,23.2,0,12.764182904717359,72
1980-02-03,33.8,23.8,12.9,15.928803971326145,76
1980-02-04,30.54,20.8,1.6,10.18757361179003,82
1980-02-05,32.2,21.57958115183246,0,20.900915567434804,74
1980-02-06,32.4,22.8,0,13.933142244329895,72
1980-02-07,33.8,22.4,0,10.919665601852465,65
1980-02-08,34,22.78984375,0.2,19.385696422955185,60
1980-02-09,34.4,23.4,0,20.783604189206393,71
1980-02-10,35.2,23,0.4,21.759593783073914,75
1980-02-11,34.8,23.8,0,23.323362000981124,68
1980-02-12,35.6,23.6,0,24.665690017160674,64
1980-02-13,35.4,24.2,0,22.67872959970833,66
1980-02-14,35.6,22.6,0,23.983914873619536,66
1980-02-15,33.8,23.8,2,22.57804177412194,61
1980-02-16,34.8,23,2.4,19.23813516935237,68
1980-02-17,33.2,22.4,0,13.810131790068953,68
1980-02-18,34.2,23,51,16.693813282016308,62
1980-02-19,31.8,20.8,11,14.886101358217566,81
1980-02-20,30.6,23,0.1,11.537193278863322,82
1980-02-21,32.2,23.4,0,17.517255146695884,75
1980-02-22,33.4,22.6,0,23.91901349349083,69
1980-02-23,34,20.8,0,23.569129730972556,72
1980-02-24,34.6,24.4,0,22.85981662096323,63
1980-02-25,33.4,22.8,0,19.114049731045377,69
1980-02-26,34.6,23.6,0,14.189424639000741,65
1980-02-27,34.2,21.4,0,18.38420791182883,70
1980-02-28,35,22.8,0,22.30952195292766,65
1980-02-29,34.2,22.4,0,24.80277136681965,64
1980-03-01,34.6,22.6,0,23.569129730972556,63
1980-03-02,35.2,23.2,0,15.01212183352513,63
1980-03-03,34,23.4,20,22.398556848783688,62
1980-03-04,31.8,19.8,0,19.651071535714493,72
1980-03-05,31.6,21,0,15.389839928640498,79
1980-03-06,33.8,24.8,9,20.128745502378507,68
1980-03-07,33,22.6,0,24.60987980947051,73
1980-03-08,34.8,24.2,0,24.44244918640002,68
1980-03-09,36.2,22.78984375,0,23.569129730972556,71
1980-03-10,35.2,23.8,0,21.161619797634295,62
1980-03-11,35.2,23.8,0,22.85981662096323,67
1980-03-12,35.4,23.6,0,24.129466718474532,63
1980-03-13,35.2,23.6,0,21.665003032183854,57
1980-03-14,32.6,24.6,0,21.045674003614028,66
1980-03-15,35.8,24,0,22.67872959970833,67
1980-03-16,36,22.4,0,22.220487057071637,71
1980-03-17,37.2,26,72,23.274308218691626,55
1980-03-18,31.8,20.2,25,19.114049731045377,83
1980-03-19,29,22,15,12.648942148527684,86
1980-03-20,33.2,23.2,0,24.032432155237867,74
1980-03-21,34.2,24.6,0,23.983914873619536,71
1980-03-22,32.2,23,1.9,15.2637320590138,64
1980-03-23,31.2,22.8,0,24.894158933258968,79
1980-03-24,35.8,23.8,0.3,23.85411211336212,59
1980-03-25,33.4,23.6,0,22.02025343114755,66
1980-03-26,34.4,25.4,0,23.646719542038632,57
1980-03-27,35.2,23.8,0,23.78921073323341,57
1980-03-28,35.4,27.4,0,22.77941742529472,53
1980-03-29,34.4,28,0,22.67872959970833,58
1980-03-30,29.4,22.78984375,0.9,18.38420791182883,82
1980-03-31,36.2,23.2,0,23.22525443640213,67
1980-04-01,36,24.8,0,22.1225395064411,54
1980-04-02,31.2,23,0.6,23.158909720598032,76
1980-04-03,35.44047619047619,24,0,22.77941742529472,65
1980-04-04,33.8,24.2,0,24.386638978709854,63
1980-04-05,30.8,24.2,6.3,23.646719542038632,75
1980-04-06,29.2,22.8,3.6,23.646719542038632,85
1980-04-07,29.8,22,1.7,17.777774795177592,81
1980-04-08,32.8,23.4,7.6,16.303405389531967,74
1980-04-09,34.6,23.8,20,10.760797301172689,66
1980-04-10,30.6,22.2,0.2,10.544510706617706,81
1980-04-11,33.6,23.2,0,20.128745502378507,69
1980-04-12,33.6,23.2,0,14.886101358217566,69
1980-04-13,34.2,24.4,46,10.919665601852465,66
1980-04-14,32.8,21.4,21.5,20.240862867345957,82
