date,tmax,tmin,rain,srad,rhum
1980-01-01,30.6,22.8,0.1,13.497988241210914,86
1980-01-02,30.6,21.6,0,17.150604692443828,74
1980-01-03,31.2,20.8,0.8,21.069949878819646,76
1980-01-04,31.6,21.4,0,23.172697738738552,80
1980-01-05,31.4,20.4,0,20.58596123035416,69
1980-01-06,30.6,19.2,0,16.5599267613104,75
1980-01-07,31.8,19.4,0,21.671747919283423,70
1980-01-08,30.8,20.2,0,22.348422433480987,73
1980-01-09,31.8,21.4,0,23.81286559236505,65
1980-01-10,31.6,20,0,23.839892784349136,70
1980-01-11,31,18.6,0,22.949575343694807,67
1980-01-12,31.2,20.8,0,18.11774953470001,74
1980-01-13,30.4,22,0,13.275232714169041,77
1980-01-14,32.6,21.4,0,16.189631684175556,70
1980-01-15,31.6,20.4,0,18.057216392989393,66
1980-01-16,32,21.4,0,12.406152658421181,71
1980-01-17,32,22.4,0,14.01031773006589,67
1980-01-18,33,22,0,19.32509209233803,67
1980-01-19,32.6,22.6,0,18.69080125740577,69
1980-01-20,31,22.8,0.1,14.471746044103455,75
1980-01-21,31.8,23.6,0,14.49425269685632,70
1980-01-22,30.4,22.4,13.4,13.984743487694029,75
1980-01-23,31.8,20.6,0,21.072046948562075,73
1980-01-24,31,21.2,3.9,14.430556032710976,80
1980-01-25,33,21.8,0,21.80761139892526,63
1980-01-26,34,20.6,0,23.18178275787846,60
1980-01-27,32.6,21.4,0,15.039053481615726,67
1980-01-28,33.4,21,0,16.94476556537015,68
1980-01-29,33.6,22.2,0,22.757541142876452,63
1980-01-30,33.2,23.4,0,19.965975093847387,62
1980-01-31,33,21.6,0,22.293423888925375,60
1980-02-01,33.6,21.4,0,19.898019322947327,64
1980-02-02,33,21.2,0,14.111142236648343,64
1980-02-03,34.6,20.6,0,21.321012250057958,64
1980-02-04,28.8,18.8,0,10.358409713544726,80
1980-02-05,33.4,22.4,0,14.184994210595953,70
1980-02-06,30.6,22.6,0,11.485516236084335,69
1980-02-07,34,22.2,0,15.189170125629056,64
1980-02-08,33.4,22.4,0,16.854705944277466,64
1980-02-09,33.2,22,0,19.209318651296044,62
1980-02-10,33.8,22.4,0,22.53011158573445,59
1980-02-11,35,20,0,25.174318340217912,60
1980-02-12,35.4,20.4,0,25.351873392461986,47
1980-02-13,35.6,20.6,0,24.290612309669033,48
1980-02-14,35.4,20.6,0,25.293495713320162,72
1980-02-15,35,20.8,0,25.194326990123272,76
1980-02-16,35.4,20.8,0,25.09427322910922,52
1980-02-17,35.4,21.8,0,22.224751289308472,56
1980-02-18,34.8,23.6,0.2,20.317117685768686,58
1980-02-19,33.4,21.8,0,17.432242955707572,71
1980-02-20,33.8,20.6,0,15.651126942835377,62
1980-02-21,35.6,22,0,22.90977398195786,56
1980-02-22,36.6,20.6,0,23.91626551014384,43
1980-02-23,35,21.4,0,24.505915567769886,53
1980-02-24,33.6,20.8,0,21.18591015061718,51
1980-02-25,34.2,21,0,13.803186597300392,57
1980-02-26,34.6,20.4,0,21.51905177296323,51
1980-02-27,32.8,21.4,0,12.297960901514815,53
1980-02-28,34.2,20.6,0,23.39295443339646,50
1980-02-29,34.6,21,0,24.40149332044963,53
1980-03-01,35.409202797202795,22.2,0,21.7576499426063,69
1980-03-02,35.36153846153846,22.5109375,0,14.326552833789062,69.625
1980-03-03,35.50453146853147,21.6,0,16.875404549056707,68.66666666666667
1980-03-04,35.83818181818182,22.6,0,24.528305934647953,66.5939393939394
1980-03-05,33,22.877464788732397,0,19.304549646074534,80
1980-03-06,35.64752447552448,23,0,23.4123619245367,68.77777777777779
1980-03-07,35.64752447552448,22.72157894736842,0,23.854501614370854,67.24545454545455
1980-03-08,35.45686713286713,22.4,0,24.29605049167402,70.99999999999999
1980-03-09,31.607031250000002,23.636666666666667,0,16.39893038188774,85
1980-03-10,33.97182247899158,22.5109375,0.2,11.179099834258437,78.21428571428571
1980-03-11,32,23.8,0,12.460760467444729,85
1980-03-12,32.08429752066116,23,0.3,15.724115995548972,86
1980-03-13,33.6,23.513235294117646,0,13.32653714506577,79.25
1980-03-14,32.08429752066116,23.2,0,11.917960390455624,86
1980-03-15,32.4,23.4,0,21.83951691262569,83.75
1980-03-16,32.98947368421052,23.2,0,17.597185275965405,80
1980-03-17,32,22.877464788732397,0,15.90294428097846,85
1980-03-18,32,23.9,0,13.357221022680124,85
