stn,Year,Day,irrad,tmin,tmax,vpd,wsp,rain
1,2016,1,22133.84,23.95,36.63,-99,-99,0
1,2016,2,10545.69,24.42,34.37,-99,-99,0
1,2016,3,21318.11,23.8,36.69,-99,-99,0
1,2016,4,11482.05,24.61,34.34,-99,-99,0
1,2016,5,22393.53,25.25,34.2,-99,-99,2.1
1,2016,6,17396.69,25.2,32,-99,-99,3.1
1,2016,7,14391.56,24.26,34.5,-99,-99,0
1,2016,8,15111.37,25.12,33.49,-99,-99,0
1,2016,9,18312.46,24.76,34.6,-99,-99,0
1,2016,10,15452.93,25.26,35.2,-99,-99,0
1,2016,11,13554.94,24.45,34.2,-99,-99,0
1,2016,12,21318.11,24.63,36.23,-99,-99,0
1,2016,13,22903.61,25.57,36.12,-99,-99,0
1,2016,14,22683.39,25.37,36.68,-99,-99,0
1,2016,15,23969.78,24.77,37.63,-99,-99,0
1,2016,16,23800.47,24.97,37.73,-99,-99,0
1,2016,17,22161.58,25.87,37.66,-99,-99,0
1,2016,18,24277.78,26.02,38.84,-99,-99,0
1,2016,19,24263.12,26.61,38.97,-99,-99,0
1,2016,20,22444.65,25.26,37.43,-99,-99,0
1,2016,21,20538.56,25.45,35.6,-99,-99,0.1
1,2016,22,22342.41,25.21,35.8,-99,-99,0
1,2016,23,19328.19,25.87,37.33,-99,-99,0
1,2016,24,23306.85,25.1,38.18,-99,-99,0
1,2016,25,20634.64,25,35,-99,-99,0
1,2016,26,23897.22,24.68,37.71,-99,-99,0
1,2016,27,24769.64,23.8,38.66,-99,-99,0
1,2016,28,25074.57,22.54,37.76,-99,-99,0
1,2016,29,21815.09,25.6,36.33,-99,-99,0
1,2016,30,23649.98,24.85,37.43,-99,-99,0
1,2016,31,24104.8,25.8,36.62,-99,-99,0
1,2016,32,24512.25,25.07,38.95,-99,-99,0
1,2016,33,24728.06,23.6,38.49,-99,-99,0
1,2016,34,23135.55,25.53,38.35,-99,-99,0.42
1,2016,35,14968.31,26.84,32.33,-99,-99,1.28
1,2016,36,10404.89,25.32,32.6,-99,-99,0.35
1,2016,37,22577.6,25.03,38.77,-99,-99,0
1,2016,38,13406.07,25.35,37.15,-99,-99,0.26
1,2016,39,10200.75,25.75,36.5,-99,-99,2.16
1,2016,40,18208.65,25.17,37.76,-99,-99,5.21
1,2016,41,13455.69,25.14,37.49,-99,-99,1.31
1,2016,42,23396.36,25.73,37.64,-99,-99,0.53
1,2016,43,20074.41,25.53,36.41,-99,-99,0.74
1,2016,44,17715.55,25.89,37.86,-99,-99,3.98
1,2016,45,17151.79,24.34,38.55,-99,-99,2.73
1,2016,46,23499.17,24.89,36.47,-99,-99,0
1,2016,47,20374.99,26.57,38.54,-99,-99,0
1,2016,48,22495.77,27.42,37.44,-99,-99,0.41
1,2016,49,19285.89,26.53,35.96,-99,-99,0.32
1,2016,50,21815.09,25.33,37.74,-99,-99,0.05
1,2016,51,18157.66,25.26,38.7,-99,-99,0.04
1,2016,52,10826.95,26.24,33.09,-99,-99,8.85
1,2016,53,18260.56,24.08,35,-99,-99,2.15
1,2016,54,22957.22,25.41,34.56,-99,-99,4.19
1,2016,55,18883.11,25.28,36.53,-99,-99,2.96
1,2016,56,14649.74,27,32.67,-99,-99,1.88
1,2016,57,12105.1,25.35,33.4,-99,-99,1.86
1,2016,58,24104.8,26,37.46,-99,-99,0.07
1,2016,59,19866.45,26.64,37.9,-99,-99,0.65
1,2016,60,22833.3,26.8,37.41,-99,-99,0.26
1,2016,61,16257.85,27.37,37.41,-99,-99,2.06
1,2016,62,22305.55,27.34,35.94,-99,-99,9.13
1,2016,63,18312.46,25.41,36.21,-99,-99,6.26
1,2016,64,11447.47,26.34,33.44,-99,-99,11.65
1,2016,65,23050.07,23.8,35.95,-99,-99,6.74
1,2016,66,15831.2,24.97,31.71,-99,-99,7.29
1,2016,67,22604.88,22.8,34.53,-99,-99,6.38
1,2016,68,15621.74,25.04,32.5,-99,-99,8.34
1,2016,69,23945.59,24.77,33.79,-99,-99,2.07
1,2016,70,22078.64,24.83,33.6,-99,-99,2.88
1,2016,71,18809.75,25.97,35.2,-99,-99,1.9
1,2016,72,18973.13,25.21,34.46,-99,-99,1
1,2016,73,10238.86,25.86,31.6,-99,-99,4.21
1,2016,74,17843.86,24,34.2,-99,-99,3.94
1,2016,75,14546.58,24.61,32.48,-99,-99,1.25
1,2016,76,21710.89,24.43,35.47,-99,-99,0.65
1,2016,77,17622.93,25.01,34.48,-99,-99,4.62
1,2016,78,24196.77,24.44,36.57,-99,-99,1.13
1,2016,79,14968.31,24.5,34,-99,-99,0.07
1,2016,80,22833.3,25.46,34.2,-99,-99,5.54
1,2016,81,14546.58,25.13,35.4,-99,-99,1.1
1,2016,82,19450.57,23.6,36.63,-99,-99,0.55
1,2016,83,13197.43,26.13,37.48,-99,-99,0.14
1,2016,84,24852.8,24,39.18,-99,-99,0.02
1,2016,85,25032.99,22.8,39.37,-99,-99,0
1,2016,86,23873.03,24.56,39.68,-99,-99,0
1,2016,87,21585.91,25.16,37.42,-99,-99,1.12
1,2016,88,22809.86,26.13,33,-99,-99,31.42
1,2016,89,18846.43,25.15,32.6,-99,-99,15.55
1,2016,90,16392.38,24,33,-99,-99,7.06
1,2016,91,11039.86,23,34,-99,-99,11.41
1,2016,92,21615.1,24.85,31.6,-99,-99,5.81
1,2016,93,11039.86,24.83,30.02,-99,-99,13.56
1,2016,94,18752.09,24.62,31.15,-99,-99,15.33
1,2016,95,11098.92,24.22,31.46,-99,-99,8.35
1,2016,96,22342.41,23.73,33,-99,-99,11.16
1,2016,97,20825.09,24.39,32.5,-99,-99,3.6
1,2016,98,21285.3,23.6,34.2,-99,-99,1.66
1,2016,99,22523.05,23.14,34.8,-99,-99,1.4
1,2016,100,10902.03,25.12,34.1,-99,-99,1.54
1,2016,101,16717.51,24.74,34.07,-99,-99,4.31
1,2016,102,19075.15,24.75,33,-99,-99,20.84
1,2016,103,11482.05,24.75,29.9,-99,-99,30.49
1,2016,104,10716.17,23.96,32.67,-99,-99,1.6
1,2016,105,18260.56,24.47,32,-99,-99,0.61
1,2016,106,20538.56,24.36,32.6,-99,-99,0.45
1,2016,107,22577.6,23.2,33.44,-99,-99,8.67
1,2016,108,13455.69,24.24,30.2,-99,-99,11.07
1,2016,109,22550.32,22,33.6,-99,-99,0.62
1,2016,110,22533.2,23,33.2,-99,-99,1.56
1,2016,111,19593.75,23,33.6,-99,-99,4.41
1,2016,112,24351.05,23,32.91,-99,-99,2.09
1,2016,113,9976.31,23,31,-99,-99,4.53
1,2016,114,17049.74,22.4,33.69,-99,-99,0.43
1,2016,115,10217.69,24.74,32.94,-99,-99,12.2
1,2016,116,22856.74,24.4,34,-99,-99,6.19
1,2016,117,22444.65,25.18,30.41,-99,-99,9.25
1,2016,118,22051.18,24.56,33.65,-99,-99,7.66
1,2016,119,11826.21,24.18,30.09,-99,-99,11.27
1,2016,120,22106.1,23,32.2,-99,-99,1.26
1,2016,121,13353.91,23,32.44,-99,-99,5.52
1,2016,122,15621.74,23,30.86,-99,-99,5.01
1,2016,123,21527.53,22.8,31.58,-99,-99,3.62
1,2016,124,22762.98,23.2,32.4,-99,-99,0.64
1,2016,125,20698.9,23,32.6,-99,-99,0.21
1,2016,126,22241.25,23,33.2,-99,-99,8.28
1,2016,127,21916.78,23.2,31.44,-99,-99,14.16
1,2016,128,22133.84,23.4,32,-99,-99,6.89
1,2016,129,20825.09,23.6,32.12,-99,-99,6.38
1,2016,130,19751.48,23.91,31.65,-99,-99,17.65
1,2016,131,18919.79,23,28.46,-99,-99,9.47
1,2016,132,20538.56,22.15,31.6,-99,-99,0.86
1,2016,133,22604.88,21.4,32.48,-99,-99,1.37
1,2016,134,13011.62,21.6,32.6,-99,-99,0.67
1,2016,135,14755.36,23,31.6,-99,-99,0.77
1,2016,136,22419.09,22,32.6,-99,-99,0
1,2016,137,16852.45,22.6,32.4,-99,-99,0.78
1,2016,138,22992.96,23.85,33.6,-99,-99,2.71
1,2016,139,17396.69,22.8,32.6,-99,-99,5.01
1,2016,140,18712.32,22.6,33.6,-99,-99,0.35
1,2016,141,15831.2,22.8,33.6,-99,-99,0.01
1,2016,142,22286,23,33.6,-99,-99,0.08
1,2016,143,22133.84,23,33.35,-99,-99,0.98
1,2016,144,19949.39,23.55,33.33,-99,-99,0.66
1,2016,145,15884.74,23.6,33.6,-99,-99,2.89
1,2016,146,20825.09,22.6,33.47,-99,-99,4.13
1,2016,147,10882.35,23.14,31.38,-99,-99,5.74
1,2016,148,20110.2,23,32,-99,-99,4.22
1,2016,149,13353.91,22.5,33.2,-99,-99,4.93
1,2016,150,18712.32,22,32.94,-99,-99,7.3
1,2016,151,16806.71,23,33,-99,-99,10.08
1,2016,152,10507.29,23.4,30.49,-99,-99,8.78
1,2016,153,10584.09,22.45,33.53,-99,-99,0.34
1,2016,154,16163.78,22.57,32,-99,-99,0.92
1,2016,155,17049.74,21.8,33.6,-99,-99,4.14
1,2016,156,23332.56,22.6,33.4,-99,-99,1.54
1,2016,157,24365.7,21.6,34.5,-99,-99,0.03
1,2016,158,21391.8,23.2,33.01,-99,-99,3.72
1,2016,159,14101.89,21.8,32.86,-99,-99,1.63
1,2016,160,19523.49,21,32.4,-99,-99,1.18
1,2016,161,21852.69,21.8,33.4,-99,-99,7.63
1,2016,162,15155.84,20.17,33.4,-99,-99,1.81
1,2016,163,23135.55,21.95,33.21,-99,-99,0.54
1,2016,164,19593.75,20,33.52,-99,-99,0.31
1,2016,165,15662.64,20,33.2,-99,-99,1.25
1,2016,166,15831.2,20.8,32.6,-99,-99,0.6
1,2016,167,23307.12,20,33.49,-99,-99,0.86
1,2016,168,21710.89,20,33.88,-99,-99,0.12
1,2016,169,18883.11,21.05,34,-99,-99,0.25
1,2016,170,16544.48,20.14,34.17,-99,-99,1.61
1,2016,171,15016,21.4,29.61,-99,-99,5.04
1,2016,172,19990.85,20.23,32.6,-99,-99,2.8
1,2016,173,18675.09,20.8,33,-99,-99,3.07
1,2016,174,23580.3,20,33.6,-99,-99,0.36
1,2016,175,14196.92,21.25,34.17,-99,-99,1.41
1,2016,176,16674.05,20.03,32.7,-99,-99,2.35
1,2016,177,21744.19,20.8,33.31,-99,-99,5.33
1,2016,178,19215.52,21.2,33.2,-99,-99,4.34
1,2016,179,22106.1,20.8,33.6,-99,-99,0.26
1,2016,180,20634.64,22,34.48,-99,-99,0.54
1,2016,181,18883.11,21.8,33.79,-99,-99,0.09
1,2016,182,14495,22,33.74,-99,-99,1.46
1,2016,183,11059.54,21.8,34.05,-99,-99,1.88
1,2016,184,19593.75,21.8,35.4,-99,-99,1.43
1,2016,185,16392.38,22.15,34.5,-99,-99,1.94
1,2016,186,16210.82,22,34.2,-99,-99,0.61
1,2016,187,16490.3,21.4,33.29,-99,-99,9.68
1,2016,188,15621.74,21.6,33.74,-99,-99,4.44
1,2016,189,20331.87,21.6,33.33,-99,-99,1.55
1,2016,190,23538.8,22,35.17,-99,-99,0.02
1,2016,191,22975.09,21.6,35,-99,-99,0
1,2016,192,19990.85,22.8,35,-99,-99,0
1,2016,193,19799.42,21.2,34.96,-99,-99,2.83
1,2016,194,18600.65,21.8,35.14,-99,-99,1.25
1,2016,195,20418.1,21.3,35,-99,-99,1.26
1,2016,196,17622.93,21,34.5,-99,-99,2.09
1,2016,197,18761.03,20.8,35.52,-99,-99,2.35
1,2016,198,10213.46,22.6,31.5,-99,-99,3.9
1,2016,199,14495,21.8,34.2,-99,-99,4.55
1,2016,200,17942.5,21.6,34.5,-99,-99,3.37
1,2016,201,19593.75,21.2,34.2,-99,-99,2.47
1,2016,202,17715.55,21.3,33.47,-99,-99,2.37
1,2016,203,13406.07,20,34.6,-99,-99,0.59
1,2016,204,15831.2,21.8,35.4,-99,-99,0.22
1,2016,205,19666.94,21.8,34.2,-99,-99,3.97
1,2016,206,23438.39,22,34.51,-99,-99,6.79
1,2016,207,19328.19,23,33.4,-99,-99,5.43
1,2016,208,23502.7,21.6,35.22,-99,-99,1.47
